NUTS code,x1997,GVA_%_1997,x1998,GVA_%_1998,x1999,GVA_%_1999,x2000,GVA_%_2000,x2001,GVA_%_2001,x2002,GVA_%_2002,x2003,GVA_%_2003,x2004,GVA_%_2004,x2005,GVA_%_2005,x2006,GVA_%_2006,x2007,GVA_%_2007,x2008,GVA_%_2008,x2009,GVA_%_2009,x2010,GVA_%_2010,x2011,GVA_%_2011,x2012,GVA_%_2012,x2013,GVA_%_2013,x2014,GVA_%_2014,x2015,GVA_%_2015,x2016,GVA_%_2016,x2017,GVA_%_2017,Percentage_change
UKG33,15125,102.86,15297,100.16,15920,101.03,16363,98.64,16832,98,17717,98.79,18254,96.56,19157,97.26,20518,99.08,20173,92.89,20047,88.55,19720,85.28,19143,85.13,19425,85.28,19522,84.14,20551,86.42,21785,88.77,23059,90.5,23725,91.3,24188,90.43,24500,89.32,-13.54
UKI62,13689,93.1,14447,94.59,15243,96.73,15953,96.17,16186,94.24,17047,95.05,18217,96.36,18915,96.03,19760,95.42,20767,95.62,21986,97.11,21914,94.77,19819,88.14,19139,84.02,18320,78.96,18557,78.04,18449,75.18,19356,75.97,18790,72.31,19210,71.82,20048,73.09,-20.01
UKC13,13194,89.73,13589,88.97,14227,90.28,14600,88.02,15951,92.87,17346,96.72,18991,100.45,19587,99.45,18872,91.13,20223,93.12,21041,92.94,21446,92.74,20609,91.65,22241,97.64,22509,97.01,22399,94.19,21887,89.19,24273,95.26,25330,97.47,24193,90.44,24908,90.81,1.08
UKF11,15015,102.12,15285,100.08,16987,107.8,17409,104.95,17872,104.06,18861,105.17,18499,97.85,19795,100.5,21365,103.17,21813,100.44,22455,99.18,22901,99.04,22130,98.42,23223,101.95,24135,104.02,24993,105.1,26144,106.53,26011,102.08,26478,101.89,26820,100.27,27880,101.64,-0.47
UKK43,11849,80.58,11929,78.11,12613,80.04,12837,77.39,13455,78.34,14443,80.53,15250,80.67,16304,82.78,16919,81.7,17941,82.61,18192,80.35,18708,80.9,18667,83.02,18958,83.23,18387,79.25,18554,78.02,19724,80.37,20148,79.07,20857,80.26,21811,81.54,21781,79.41,-1.18
UKK22,12137,82.54,12416,81.29,13431,85.23,13922,83.93,13963,81.3,14135,78.82,14627,77.37,15086,76.59,15933,76.94,16299,75.05,16928,74.77,18056,78.08,17542,78.01,17456,76.63,17784,76.65,18165,76.39,18319,74.65,19501,76.53,19335,74.4,19746,73.82,20234,73.77,-8.78
UKG36,11302,76.86,11853,77.61,12000,76.15,12435,74.96,12634,73.56,13573,75.68,13363,70.69,13867,70.41,14581,70.41,15075,69.41,15595,68.88,15519,67.11,14433,64.19,14298,62.77,14393,62.03,14648,61.6,14742,60.07,15455,60.66,15979,61.49,16399,61.31,17033,62.1,-14.77
UKC14,9270,63.04,9485,62.1,9590,60.86,10061,60.65,10345,60.23,11054,61.64,11724,62.02,12173,61.8,12450,60.12,13428,61.83,13695,60.49,14203,61.42,14117,62.78,14532,63.8,14305,61.65,14659,61.64,15346,62.53,15588,61.18,16328,62.83,16237,60.7,16718,60.95,-2.1
UKI73,16026,108.99,16875,110.49,17722,112.46,18500,111.53,18444,107.39,18934,105.58,19843,104.96,20202,102.57,20928,101.06,21484,98.92,22391,98.9,22180,95.92,20052,89.18,20456,89.8,21839,94.13,23111,97.19,24159,98.44,25958,101.88,26019,100.12,27058,101.16,28385,103.48,-5.51
UKD12,13186,89.68,13842,90.63,13880,88.08,14411,86.88,14789,86.11,15787,88.03,17530,92.73,17606,89.39,17774,85.83,19522,89.89,20010,88.38,21194,91.65,19623,87.27,20442,89.74,19987,86.14,21002,88.32,22353,91.08,23466,92.1,24567,94.54,23910,89.39,24265,88.46,-1.21
UKF12,9308,63.3,9622,63,10017,63.57,10079,60.76,10486,61.05,11170,62.28,11806,62.45,12064,61.25,12867,62.13,13802,63.55,14356,63.41,14379,62.18,13773,61.25,14433,63.36,15871,68.4,16232,68.26,17254,70.31,17813,69.91,18238,70.18,18473,69.06,18675,68.08,4.78
UKJ44,12021,81.75,12339,80.79,12533,79.53,12722,76.69,13290,77.38,14072,78.47,14846,78.53,15138,76.86,16144,77.96,16843,77.55,17503,77.31,18619,80.52,17505,77.85,17544,77.02,17746,76.48,17726,74.54,17960,73.18,17963,70.5,18144,69.82,18370,68.68,19048,69.44,-12.31
UKD46,11435,77.77,11692,76.55,11909,75.57,12277,74.01,12453,72.51,13147,73.31,13838,73.2,14782,75.05,15453,74.62,15715,72.36,16502,72.89,16124,69.73,15052,66.94,15524,68.15,15695,67.65,16612,69.86,17238,70.24,17823,69.95,17419,67.03,18264,68.28,18667,68.05,-9.71
UKD71,10185,69.27,10859,71.1,11370,72.15,12023,72.48,13006,75.73,13798,76.94,14554,76.98,15045,76.39,15665,75.64,16900,77.82,17319,76.5,18444,79.76,18310,81.43,19282,84.65,19750,85.12,18836,79.21,19657,80.1,21120,82.89,22110,85.08,21707,81.15,22272,81.2,11.93
