NUTS code,x1997,GVA_%_1997,x1998,GVA_%_1998,x1999,GVA_%_1999,x2000,GVA_%_2000,x2001,GVA_%_2001,x2002,GVA_%_2002,x2003,GVA_%_2003,x2004,GVA_%_2004,x2005,GVA_%_2005,x2006,GVA_%_2006,x2007,GVA_%_2007,x2008,GVA_%_2008,x2009,GVA_%_2009,x2010,GVA_%_2010,x2011,GVA_%_2011,x2012,GVA_%_2012,x2013,GVA_%_2013,x2014,GVA_%_2014,x2015,GVA_%_2015,x2016,GVA_%_2016,x2017,GVA_%_2017,Percentage_change
UKF14,18373,124.95,19144,125.35,18759,119.04,19394,116.92,20829,121.28,21235,118.41,21310,112.72,22947,116.51,23925,115.53,23756,109.38,24562,108.49,25755,111.38,25797,114.72,25942,113.89,26076,112.39,25987,109.28,25942,105.71,27015,106.02,27477,105.73,28376,106.08,29487,107.5,-17.45
UKJ14,17081,116.17,17945,117.49,18887,119.86,19832,119.56,20496,119.34,21948,122.38,23206,122.75,23279,118.19,24052,116.14,24595,113.25,25456,112.44,26441,114.34,26141,116.25,26797,117.64,27546,118.72,28549,120.05,29756,121.25,30920,121.35,32563,125.3,33709,126.02,34103,124.33,8.16
UKH11,16565,112.66,16902,110.67,17668,112.12,17874,107.75,18267,106.36,19341,107.85,20497,108.42,21923,111.31,22561,108.94,24455,112.6,25716,113.59,24757,107.06,24471,108.83,24587,107.94,24224,104.4,25565,107.51,25960,105.78,27172,106.64,27520,105.9,28527,106.65,29023,105.81,-6.85
UKK41,12304,83.68,12717,83.26,13068,82.93,13794,83.16,14201,82.68,14541,81.08,15083,79.78,16014,81.31,16567,80,17457,80.38,18041,79.69,17889,77.36,17299,76.93,17875,78.47,17969,77.45,18920,79.56,19736,80.42,19899,78.1,19830,76.31,20387,76.22,20657,75.31,-8.37
UKJ31,17073,116.11,17860,116.94,17860,113.34,18654,112.45,20383,118.68,21442,119.56,21201,112.14,21926,111.32,21963,106.06,22507,103.63,24027,106.13,24554,106.18,24215,107.69,25444,111.7,23777,102.48,24886,104.65,25712,104.77,26137,102.58,26149,100.62,26333,98.44,26951,98.25,-17.86
UKI53,10458,71.12,10893,71.32,11399,72.34,11835,71.35,12228,71.2,12705,70.84,13465,71.22,13992,71.04,14661,70.8,15205,70.01,15742,69.53,15863,68.6,14511,64.53,14555,63.9,14866,64.07,16000,67.28,16515,67.3,17105,67.13,16935,65.17,16956,63.39,17599,64.16,-6.96
UKG37,12837,87.3,13398,87.72,13074,82.97,13623,82.13,13807,80.39,14540,81.08,14402,76.18,14917,75.74,15454,74.62,16140,74.32,16917,74.72,16740,72.39,15955,70.96,16200,71.12,16103,69.4,17071,71.79,17348,70.69,18485,72.55,18074,69.55,18980,70.96,19198,69.99,-17.31
UKD73,9811,66.72,10358,67.82,10986,69.72,11354,68.45,11710,68.18,12991,72.44,12932,68.41,14009,71.13,13899,67.12,14859,68.42,14919,65.9,15120,65.39,15028,66.83,15072,66.17,14877,64.12,14347,60.33,14553,59.3,14635,57.44,15163,58.35,15556,58.16,15795,57.58,-9.14
UKE32,11995,81.58,12718,83.27,12649,80.27,13124,79.12,14154,82.41,15230,84.92,15840,83.79,16678,84.68,17234,83.22,17884,82.35,19094,84.34,18967,82.02,19058,84.75,18978,83.31,19022,81.98,19424,81.68,19687,80.22,19861,77.95,20565,79.14,21143,79.04,21413,78.06,-3.51
UKG22,11817,80.37,12382,81.07,12872,81.69,12887,77.69,13158,76.61,14062,78.41,15468,81.82,16169,82.09,16404,79.21,16478,75.87,16733,73.91,17812,77.03,17610,78.32,17664,77.55,18000,77.58,18475,77.69,19169,78.11,19610,76.96,19510,75.08,19593,73.25,20156,73.48,-6.88
UKG32,17453,118.7,18217,119.28,18585,117.94,18711,112.8,19690,114.64,21123,117.78,22643,119.77,22926,116.4,24403,117.84,25382,116.87,26583,117.42,25419,109.92,24319,108.15,24384,107.05,24818,106.96,27001,113.54,27400,111.65,29529,115.89,32586,125.39,35435,132.47,36042,131.4,12.7
UKK23,12420,84.47,12312,80.61,12977,82.35,13449,81.08,13629,79.35,14055,78.37,14709,77.8,15464,78.51,16638,80.34,17630,81.18,17706,78.21,18142,78.46,17623,78.37,17987,78.96,18220,78.53,18528,77.91,19078,77.74,20075,78.79,20543,79.05,21096,78.87,21295,77.63,-6.83
UKF13,12167,82.75,12243,80.16,12618,80.07,11993,72.3,12513,72.86,12940,72.15,13548,71.66,14490,73.57,15236,73.57,16070,73.99,16187,71.5,16311,70.54,14922,66.36,15986,70.18,17042,73.45,17425,73.28,18406,75,18553,72.81,18614,71.63,19331,72.27,19903,72.56,-10.19
UKJ35,14132,96.11,14565,95.36,14800,93.92,15326,92.39,16124,93.88,17061,95.13,17271,91.36,18238,92.6,19013,91.81,19678,90.61,20706,91.46,21060,91.07,20528,91.29,21033,92.34,21509,92.7,22300,93.78,22354,91.09,22315,87.58,23396,90.03,22909,85.64,23863,87,-9.11
UKF16,10102,68.7,10233,67,11051,70.13,11771,70.96,12042,70.11,12649,70.53,12874,68.1,12833,65.16,14398,69.53,15174,69.87,15266,67.43,15182,65.65,14804,65.84,14594,64.07,14686,63.3,15155,63.73,16250,66.22,16836,66.08,16977,65.33,17110,63.97,17629,64.27,-4.43
UKC12,9963,67.76,10298,67.43,10885,69.08,11173,67.36,10998,64.03,11854,66.1,12372,65.44,14209,72.14,14482,69.93,14921,68.7,15586,68.84,16032,69.33,15891,70.67,16451,72.22,16266,70.11,15872,66.75,16533,67.37,16594,65.13,16631,64,16734,62.56,17002,61.98,-5.77
UKJ32,17978,122.27,18285,119.72,17460,110.8,17213,103.77,18155,105.71,19590,109.23,20684,109.41,21619,109.76,22520,108.74,22551,103.84,24218,106.97,23288,100.71,22333,99.32,21597,94.81,21650,93.31,21797,91.66,23253,94.75,24187,94.93,24724,95.14,24517,91.66,25980,94.71,-27.55
UKH31,11313,76.94,11826,77.43,12088,76.71,12954,78.09,13453,78.33,14345,79.99,15028,79.49,15207,77.21,15167,73.24,15872,73.08,16437,72.6,16815,72.72,16737,74.43,16470,72.3,16008,68.99,16241,68.3,16475,67.13,17455,68.5,17662,67.96,17771,66.44,17899,65.25,-11.68
UKG24,11731,79.78,12388,81.11,12373,78.52,12674,76.4,13133,76.47,13886,77.43,14291,75.59,15202,77.18,15838,76.48,16568,76.29,17003,75.1,17566,75.96,16388,72.88,16653,73.11,16851,72.63,16856,70.88,17257,70.32,17943,70.42,18740,72.11,18913,70.71,19374,70.63,-9.15
UKG23,12280,83.51,12873,84.29,12853,81.56,13051,78.68,12957,75.44,12982,72.39,13950,73.79,14604,74.15,14874,71.82,15684,72.22,15498,68.45,16269,70.36,15981,71.07,16876,74.09,17378,74.9,18284,76.89,18706,76.22,18927,74.28,19888,76.53,20478,76.56,21067,76.8,-6.71
UKH14,14097,95.87,14117,92.43,13888,88.13,15071,90.85,15758,91.75,16431,91.62,17214,91.06,17656,89.64,17931,86.59,19189,88.36,19589,86.52,20160,87.18,19310,85.88,19779,86.83,20130,86.76,20603,86.64,21347,86.99,21990,86.3,22287,85.76,22794,85.21,23350,85.13,-10.75
UKC23,10985,74.71,11393,74.6,11160,70.82,11794,71.1,12993,75.65,13979,77.95,14598,77.22,15651,79.46,17273,83.41,17445,80.33,17877,78.96,17881,77.33,17339,77.11,17377,76.29,17504,75.44,18335,77.1,19076,77.73,20360,79.91,20901,80.43,21718,81.19,22368,81.55,6.84
UKK14,22629,153.9,23535,154.1,23838,151.28,24082,145.18,25516,148.56,25545,142.44,25545,135.12,26285,133.45,27761,134.05,28881,132.98,30229,133.52,30325,131.14,29730,132.22,28366,124.53,28765,123.98,28832,121.24,29811,121.47,29658,116.4,30085,115.77,32276,120.66,32418,118.18,-35.71
UKG21,15583,105.98,16032,104.97,15660,99.38,15227,91.8,15385,89.58,16578,92.44,16830,89.02,17761,90.18,18214,87.95,19126,88.07,19669,86.88,19996,86.47,18831,83.75,19105,83.87,19952,85.99,21249,89.36,21346,86.98,21495,84.36,21975,84.56,22386,83.69,22783,83.06,-22.92
UKH32,15374,104.56,16096,105.39,15290,97.03,15095,91,15241,88.74,15961,89,18019,95.31,19335,98.17,18445,89.07,19388,89.27,18193,80.36,18258,78.96,18870,83.92,18006,79.05,19292,83.15,17288,72.7,18400,74.98,19131,75.08,19968,76.84,20652,77.21,21080,76.85,-27.71
UKK42,11829,80.45,11654,76.3,11512,73.05,11482,69.22,11481,66.85,11447,63.83,12431,65.76,13467,68.37,13746,66.38,14585,67.16,14649,64.7,15056,65.11,14194,63.12,14689,64.48,14696,63.34,14940,62.83,15207,61.97,15564,61.08,15579,59.95,15738,58.84,16204,59.07,-21.37
UKI42,47834,325.31,48384,316.79,47720,302.83,52180,314.56,52783,307.32,54196,302.2,59616,315.35,66450,337.38,76697,370.36,79451,365.83,89264,394.28,86101,372.34,86273,383.67,81005,355.61,92618,399.18,89295,375.5,90582,369.1,95541,374.96,95209,366.37,94591,353.62,96309,351.11,25.8
UKC22,11369,77.32,11964,78.33,12367,78.48,12803,77.18,13829,80.52,14835,82.72,15652,82.79,17002,86.32,18121,87.5,18859,86.84,18966,83.77,19617,84.83,18786,83.55,19123,83.95,20121,86.72,20407,85.82,20719,84.43,21255,83.42,22210,85.47,22710,84.9,23257,84.79,7.47
UKE45,11430,77.73,11951,78.25,12590,79.9,12892,77.72,13093,76.23,13606,75.87,14825,78.42,15595,79.18,16093,77.71,16727,77.02,17235,76.13,17568,75.97,17339,77.11,17931,78.72,18158,78.26,18933,79.62,19596,79.85,19502,76.54,20543,79.05,21090,78.84,21637,78.88,1.15
UKG38,10822,73.6,11492,75.24,11752,74.58,12170,73.37,12279,71.49,12459,69.47,12331,65.23,13294,67.5,13895,67.1,14148,65.14,14268,63.02,14227,61.52,13776,61.26,14427,63.33,14924,64.32,15332,64.47,15886,64.73,16930,66.44,17364,66.82,17930,67.03,18551,67.63,-5.97
UKI34,20409,138.8,21251,139.14,22283,141.41,24066,145.08,24766,144.2,25209,140.57,25797,136.46,26854,136.34,28586,138.04,29589,136.24,32823,144.98,34516,149.26,31777,141.32,31793,139.57,32963,142.07,35686,150.07,37028,150.88,38159,149.76,38475,148.05,39137,146.31,40134,146.31,7.52
UKD61,16557,112.6,17694,115.85,18203,115.52,19358,116.7,21627,125.92,22857,127.45,24013,127.02,24003,121.87,25919,125.16,28537,131.4,29165,128.82,27708,119.82,27086,120.46,27946,122.68,27324,117.77,30294,127.39,29383,119.73,31197,122.44,29543,113.68,31167,116.52,32119,117.09,4.49
UKG13,15754,107.14,16165,105.84,17092,108.47,16833,101.48,16992,98.93,17860,99.59,18535,98.04,18824,95.57,19947,96.32,21496,98.98,21527,95.08,22294,96.41,21387,95.11,22127,97.14,22941,98.88,24452,102.83,26584,108.32,27857,109.33,29474,113.42,29994,112.13,30738,112.06,4.92
UKD11,11667,79.35,12186,79.79,11704,74.27,11780,71.02,11785,68.62,12494,69.67,13461,71.2,13732,69.72,13622,65.78,15649,72.06,16185,71.49,17564,75.96,18196,80.92,18800,82.53,18926,81.57,19413,81.64,20273,82.61,21239,83.36,22477,86.49,22390,83.7,23284,84.89,5.54
UKH35,14070,95.69,14278,93.49,14392,91.33,15376,92.69,16484,95.98,17123,95.48,18678,98.8,18851,95.71,19547,94.39,20513,94.45,21389,94.47,21812,94.33,20317,90.35,21301,93.51,21272,91.68,21347,89.77,21750,88.63,24003,94.2,25097,96.58,25428,95.06,26491,96.58,0.89
UKJ46,14315,97.35,14804,96.93,15162,96.22,15443,93.1,16174,94.17,17224,96.04,18307,96.84,18820,95.55,20519,99.08,21063,96.98,21685,95.78,22952,99.26,22057,98.09,22519,98.86,22840,98.44,23436,98.55,24185,98.55,25690,100.82,27414,105.49,27540,102.96,28665,104.5,7.15
UKF24,15107,102.74,15425,101,16290,103.38,17518,105.61,17615,102.56,17782,99.15,18963,100.31,19538,99.2,20062,96.88,21329,98.21,22778,100.61,23073,99.78,21981,97.75,23054,101.21,22494,96.95,23306,98.01,24502,99.84,25265,99.16,25108,96.62,26604,99.46,27528,100.36,-2.38
UKJ25,19484,132.51,20629,135.07,22653,143.76,23596,142.25,24106,140.36,24777,138.16,25864,136.81,25274,128.32,26004,125.57,27622,127.18,28665,126.61,29960,129.56,28934,128.68,29530,129.64,29484,127.08,31472,132.35,32840,133.82,33767,132.52,35071,134.96,35155,131.43,35780,130.44,-2.07
UKJ28,17469,118.8,17974,117.68,18659,118.41,19345,116.62,20297,118.18,21054,117.4,21523,113.85,21764,110.5,22283,107.6,23813,109.65,24065,106.29,25411,109.89,25183,111.99,25538,112.11,24716,106.53,26110,109.8,27563,112.31,28962,113.67,30121,115.91,30534,114.15,31059,113.23,-5.57
UKJ27,14332,97.47,14906,97.6,15126,95.99,15738,94.88,16648,96.93,17195,95.88,17628,93.25,18055,91.67,18575,89.7,19849,91.39,19823,87.56,20290,87.74,19918,88.58,20829,91.44,20565,88.63,21230,89.28,21588,87.97,21512,84.43,21885,84.22,22071,82.51,22613,82.44,-15.03
UKI32,106506,724.33,112386,735.85,114519,726.74,121261,731.02,122819,715.1,125087,697.49,131223,694.12,135105,685.95,142391,687.58,147310,678.29,163682,722.98,176599,763.7,183065,814.13,187115,821.44,194730,839.28,199237,837.83,209182,852.38,225703,885.8,222898,857.73,238941,893.27,250030,911.52,187.19
UKK15,13746,93.48,13780,90.22,14085,89.38,14582,87.91,15353,89.39,16085,89.69,16163,85.5,16812,85.36,17238,83.24,17999,82.88,19009,83.96,19770,85.5,19197,85.37,19583,85.97,19172,82.63,19425,81.69,19669,80.15,21125,82.91,21456,82.56,21950,82.06,22742,82.91,-10.58
UKD74,9192,62.51,9828,64.35,10006,63.5,10351,62.4,10591,61.67,11412,63.63,12241,64.75,12173,61.8,12419,59.97,13157,60.58,13323,58.85,13846,59.88,13420,59.68,13308,58.42,13946,60.11,13217,55.58,13697,55.81,14113,55.39,14733,56.69,14705,54.97,15164,55.28,-7.23
UKG39,12361,84.07,13060,85.51,13642,86.57,14151,85.31,14488,84.36,14854,82.83,14805,78.31,15923,80.84,16824,81.24,17194,79.17,17413,76.91,17219,74.46,16832,74.86,17603,77.28,17817,76.79,18275,76.85,18413,75.03,18560,72.84,18001,69.27,18255,68.25,19021,69.34,-14.72
UKG12,11391,77.47,12370,80.99,13841,87.83,14765,89.01,14503,84.44,14285,79.65,15719,83.15,17165,87.15,17000,82.09,18028,83.01,17586,77.68,17746,76.74,16954,75.4,17299,75.94,18029,77.7,18705,78.66,19359,78.88,20188,79.23,21165,81.44,21634,80.88,22584,82.33,4.86
UKE21,16255,110.55,16666,109.12,16712,106.05,17682,106.6,18716,108.97,20591,114.82,21961,116.17,22912,116.33,22533,108.81,22728,104.65,24182,106.81,23819,103.01,23458,104.32,22990,100.93,23445,101.05,23924,100.61,24255,98.83,24318,95.44,23773,91.48,24146,90.27,25130,91.62,-18.93
