"","LAD19NM","LAD19CD","LAD19NMW","nuts318cd"
"132","Maidstone","E07000110"," ","UKJ45"
"133","Sevenoaks","E07000111"," ","UKJ46"
"134","Folkestone and Hythe","E07000112"," ","UKJ44"
"135","Swale","E07000113"," ","UKJ43"
"136","Thanet","E07000114"," ","UKJ44"
"137","Tonbridge and Malling","E07000115"," ","UKJ46"
"138","Tunbridge Wells","E07000116"," ","UKJ46"
"139","Burnley","E07000117"," ","UKD46"
"140","Chorley","E07000118"," ","UKD47"
"141","Fylde","E07000119"," ","UKD45"
"142","Hyndburn","E07000120"," ","UKD46"
"143","Lancaster","E07000121"," ","UKD44"
"144","Pendle","E07000122"," ","UKD46"
"145","Preston","E07000123"," ","UKD45"
"146","Ribble Valley","E07000124"," ","UKD45"
"147","Rossendale","E07000125"," ","UKD46"
"148","South Ribble","E07000126"," ","UKD45"
"149","West Lancashire","E07000127"," ","UKD47"
"150","Wyre","E07000128"," ","UKD44"
"151","Blaby","E07000129"," ","UKF22"
"152","Charnwood","E07000130"," ","UKF22"
"153","Harborough","E07000131"," ","UKF22"
"154","Hinckley and Bosworth","E07000132"," ","UKF22"
"155","Melton","E07000133"," ","UKF22"
"156","North West Leicestershire","E07000134"," ","UKF22"
"157","Oadby and Wigston","E07000135"," ","UKF22"
"158","Boston","E07000136"," ","UKF30"
"159","East Lindsey","E07000137"," ","UKF30"
"160","Lincoln","E07000138"," ","UKF30"
"161","North Kesteven","E07000139"," ","UKF30"
"162","South Holland","E07000140"," ","UKF30"
"163","South Kesteven","E07000141"," ","UKF30"
"164","West Lindsey","E07000142"," ","UKF30"
"165","Breckland","E07000143"," ","UKH17"
"166","Broadland","E07000144"," ","UKH15"
"167","Great Yarmouth","E07000145"," ","UKH15"
"168","King's Lynn and West Norfolk","E07000146"," ","UKH16"
"169","North Norfolk","E07000147"," ","UKH16"
"170","Norwich","E07000148"," ","UKH15"
"171","South Norfolk","E07000149"," ","UKH17"
"172","Corby","E07000150"," ","UKF25"
"173","Daventry","E07000151"," ","UKF24"
"174","East Northamptonshire","E07000152"," ","UKF25"
"175","Kettering","E07000153"," ","UKF25"
"176","Northampton","E07000154"," ","UKF24"
"177","South Northamptonshire","E07000155"," ","UKF24"
"178","Wellingborough","E07000156"," ","UKF25"
"179","Craven","E07000163"," ","UKE22"
"180","Hambleton","E07000164"," ","UKE22"
"181","Harrogate","E07000165"," ","UKE22"
"182","Richmondshire","E07000166"," ","UKE22"
"183","Ryedale","E07000167"," ","UKE22"
"184","Scarborough","E07000168"," ","UKE22"
"185","Selby","E07000169"," ","UKE22"
"186","Ashfield","E07000170"," ","UKF15"
"187","Bassetlaw","E07000171"," ","UKF15"
"188","Broxtowe","E07000172"," ","UKF16"
"189","Gedling","E07000173"," ","UKF16"
"190","Mansfield","E07000174"," ","UKF15"
